TIC ID,TOI,Master priority,SG1A priority,SG1B priority,SG2 priority,SG3 priority,SG4 priority,SG5 priority,TESS Disposition,TFOPWG Disposition,TESS mag,TESS mag error,# PCs,Source,RA (degrees),Dec (degrees),PM RA (mas/yr),PM RA error,PM Dec (mas/yr),PM Dec error,Epoch (BJD),Epoch error,Period (days),Period error,Duration (hours),Duration error,Depth (mmag),Depth (mmag) error,Depth (ppm),Depth (ppm) error,Planet Radius (R_Earth),Planet Radius error,Planet Insolation (Earth flux),Planet Eq Temp (K),Planet SNR,Stellar Distance (pc),Stellar Distance error,Stellar Teff (K),Stellar Teff error,Stellar log(g) (cm/s2),Stellar log(g) error,Stellar Radius (R_Sun),Stellar Radius error,Sectors,Comments,Date Created,Date Modified
78672342,648.01,5,5,5,5,5,5,5,PC,FP,10.118,0.018,1,qlp,103.002761,-18.95443,-10.799,0.547,3.174,0.704,2458471.302,0.00691,2.97638,0.00175,3.212,0.957,0.864418,0.003636,795.842,3.34883,11.0372,1.52854,2695.88,2007,14,619.99677,,7231,208,3.5669401,0.63214201,3.47578,1.02219,6,possible odd-even; GAIA DR2 Teff = 4060 K and Rad = 10.8 Rsun,3/21/2019,5/9/2019
35582553,649.01,3,4,3,3,4,4,4,PC,,9.8400002,0.023,1,qlp,102.222709,-13.527301,-6.044,1.049,4.605,0.846,2458468.836,0.00099,0.93556,0.00008,1.124,0.054,1.373336,0.00085,1264.09,0.783218,,,0,0,30,,,0,0,,,,,6,GAIA DR2 Rad =  2.44 Rsun and teff = 6555 K,3/21/2019,5/6/2019
349373192,650.01,5,5,5,5,5,5,5,PC,FP,9.757,0.019,1,qlp,110.261044,-60.155477,-1.939,0.971,13.003,0.729,2458326.315,0.00441,0.76983,0.00003,2.774,0.185,0.17394,0.000207,160.192,0.191012,,,54414,4254,32,403.69211,72.639503,7667.3901,53.551899,3.9172001,0.110425,2.2030599,0.550834,"4,5,6",likely NEB on TIC 349411363 130,3/21/2019,5/9/2019
72090501,651.01,3,4,3,3,4,4,4,PC,,6.8319998,0.108,1,qlp,92.105674,-11.147126,,,,,2458469.473,0.00209,1.07083,0.00017,1.657,0.311,3.429018,0.006675,3153.26,6.14768,,,10983.9,2852,19,,,0,0,,,,,6,maybe odd-even; two stars on the same TESS pixel,3/21/2019,5/6/2019
22221375,652.01,1,4,1,1,4,4,4,PC,,7.3579998,0.017,1,spoc,149.123542,-24.099192,-177.094,0.068,47.109,0.058,2458543.255,0.002001,3.984627,0.000512,2.398698,0.347213,0.423231,0.025153,389.73384,23.16654,2.046621,1.354847,449.227034,1174.184168,16.159866,45.372051,0.79237002,5940.4102,17.180401,4.4981499,0.034729701,1.11593,0.097769603,9,small PC in known system (HD 86226 b has P = 1695 days),5/6/2019,5/7/2019
33153766,653.01,3,4,3,3,4,4,4,PC,,8.4980001,0.018,1,spoc,144.773634,-45.426186,-19.51,0.146,5.807,0.153,2458543.227,0.001078,0.688413,0.000053,1.503725,0.291402,0.424201,0.024508,390.627662,22.572357,6.485009,5.665568,49580.36122,3805.810598,14.02045,218.48906,17.651699,6054,193,3.4732299,0.30443701,3.2260499,0.44175199,9,Need SG1 to check neighbor TIC 33153755 at ~14.32,5/6/2019,5/7/2019
35009898,654.01,1,4,1,1,4,4,4,PC,,12.172,0.04,1,spoc,164.724165,-5.546356,81.1,2,-260.24,2,2458543.436,0.001885,1.527419,0.000195,1.211359,0.399291,3.141428,0.253871,2889.180002,233.79655,1.90826,1.223543,45.576272,662.680892,12.836975,81.632454,,3433,86,4.89676,0.43222299,0.35299999,0.064999998,9,low SNR in qlp; unknown GAIA DR2 radius,5/6/2019,5/7/2019
35516889,655.01,5,5,5,5,5,5,5,PC,CP,11.545,0.019,1,spoc,148.416774,-45.65911,-36.922,1.052,17.979,1.052,2458543.622,0.000178,0.788843,0.00001,1.624113,0.013102,27.223514,0.162292,24762.04649,149.46536,16.546514,0.093412,3303.751858,1933.622116,167.72273,397.741,,5503,25,4.4499998,0.028000001,0.983863,0.047541302,9,WASP-19 b,5/6/2019,5/7/2019
36734222,656.01,5,5,5,5,5,5,5,PC,CP,11.016,0.018,1,spoc,154.908193,-9.806438,-42.1,2,-36.74,2,2458543.604,0.000087,0.81347,0.000005,1.226305,0.006867,29.525002,0.104155,26827.11681,95.925896,10.423753,0.04514,596.670633,1260.530665,309.28363,,,4187,166,,,,,9,WASP-43b,5/6/2019,5/7/2019
48103627,657.01,5,5,5,5,5,5,5,PC,CP,12.375,0.018,1,spoc,147.406701,-33.218503,-7.507,2.507,-1.33,2.507,2458547.313,0.001395,4.569904,0.000539,3.913666,0.126971,11.204012,0.309729,10266.21514,285.23013,13.24057,13.247647,649.304855,1287.454567,31.02104,572.59698,,6122,188,4.283,,1.28576,1.28576,9,large planet,5/6/2019,5/9/2019
