rowid,toi,toipfx,tid,ctoi_alias,pl_pnum,tfopwg_disp,rastr,ra,raerr1,raerr2,decstr,dec,decerr1,decerr2,st_pmra,st_pmraerr1,st_pmraerr2,st_pmralim,st_pmrasymerr,st_pmdec,st_pmdecerr1,st_pmdecerr2,st_pmdeclim,st_pmdecsymerr,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_tranmidlim,pl_tranmidsymerr,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbpersymerr,pl_trandurh,pl_trandurherr1,pl_trandurherr2,pl_trandurhlim,pl_trandurhsymerr,pl_trandep,pl_trandeperr1,pl_trandeperr2,pl_trandeplim,pl_trandepsymerr,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radesymerr,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_insolsymerr,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,pl_eqtsymerr,st_tmag,st_tmagerr1,st_tmagerr2,st_tmaglim,st_tmagsymerr,st_dist,st_disterr1,st_disterr2,st_distlim,st_distsymerr,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_teffsymerr,st_logg,st_loggerr1,st_loggerr2,st_logglim,st_loggsymerr,st_rad,st_raderr1,st_raderr2,st_radlim,st_radsymerr,toi_created,rowupdate
282,1246.03,1246,230127302,230127302,3,,16h44m27.81s,251.11587,,,+70d25m47.97s,70.429992,,,-48.024,0.047,0.047,0,1,81.928,0.051,0.051,0,1,2458683.475,0.003598,0.003598,0,1,5.903194,0.000474,0.000474,0,1,2.635619,0.685317,0.685317,0,1,906.747925,96.114311,96.114311,0,1,2.6288,2.883164,2.883164,0,1,129.068298,,,,,859.655884,,,,,11.1802,0.006,0.006,0,1,169.422,0.671,0.671,0,1,5141,122.049004,122.049004,0,1,4.49143,0.084277,0.084277,0,1,0.876154,0.051,0.051,0,1,11/15/2019 23:57,12/17/2019 10:00
283,1247.01,1247,232540264,232540264,1,,15h11m28.29s,227.867864,,,+71d50m28.67s,71.841296,,,-189.064,0.053,0.053,0,1,80.263,0.044,0.044,0,1,2458687.651,0.004126,0.004126,0,1,15.923849,0.005931,0.005931,0,1,4.27651,0.355711,0.355711,0,1,648.49176,42.33622,42.33622,0,1,2.800653,0.642421,0.642421,0,1,70.932693,,,,,740.1698,,,,,8.4724,0.006,0.006,0,1,73.8713,0.14365,0.14365,0,1,5711.850098,106.300003,106.300003,0,1,4.38315,0.068949,0.068949,0,1,1.07587,0.046538,0.046538,0,1,10/17/2019 0:30,6/4/2020 12:00
284,1248.01,1248,232612416,232612416,1,,17h16m05.66s,259.023592,,,+63d06m20.19s,63.105607,,,-2.867,0.047,0.047,0,1,-81.029,0.042,0.042,0,1,2458687.121,0.000363,0.000363,0,1,4.360136,0.000019,0.000019,0,1,2.242711,0.040882,0.040882,0,1,5546.85336,55.185787,55.185787,0,1,6.615743,0.39851,0.39851,0,1,202.075012,,,,,961.607635,,,,,11.1153,0.006,0.006,0,1,168.735,0.5995,0.5995,0,1,5227,119.505,119.505,0,1,4.50479,0.081479,0.081479,0,1,0.874131,0.047593,0.047593,0,1,10/17/2019 0:30,5/7/2020 10:00
285,1249.01,1249,232976128,232976128,1,,13h22m14.78s,200.561576,,,+66d18m30.72s,66.308533,,,-14.785,0.052,0.052,0,1,-46.313,0.042,0.042,0,1,2458694.382,0.003415,0.003415,0,1,13.078807,0.00469,0.00469,0,1,3.08686,0.682819,0.682819,0,1,1031.790894,108.861076,108.861076,0,1,3.264862,2.253683,2.253683,0,1,69.206535,,,,,735.625061,,,,,10.2108,0.006,0.006,0,1,139.49,0.535,0.535,0,1,5453,117.875,117.875,0,1,4.41707,0.079454,0.079454,0,1,0.999576,0.050653,0.050653,0,1,10/17/2019 0:30,3/25/2020 12:00
286,125.01,125,52368076,52368076.01,1,CP,01h34m22.42s,23.593425,,,-66d40m34.86s,-66.676349,,,-119.8,0.066,0.066,0,1,-122.953,0.08,0.08,0,1,2458327.433,0.001879,0.001879,0,1,4.653811,0.000289,0.000289,0,1,2.921928,0.288457,0.288457,0,1,1007.882446,50.584927,50.584927,0,1,2.863905,1.099036,1.099036,0,1,188.107544,,,,,944.542053,,,,,10.1985,0.006,0.006,0,1,111.059,0.442,0.442,0,1,5154,182,182,0,1,4.47072,0.28501,0.28501,0,1,0.89927,0.116155,0.116155,0,1,9/5/2018 18:34,12/17/2019 10:00
287,125.02,125,52368076,52368076.02,2,CP,01h34m22.42s,23.593425,,,-66d40m34.86s,-66.676349,,,-119.8,0.066,0.066,0,1,-122.953,0.08,0.08,0,1,2458334.457,0.002132,0.002132,0,1,9.150607,0.00073,0.00073,0,1,2.907668,0.380794,0.380794,0,1,996.181824,61.571884,61.571884,0,1,2.861244,1.371003,1.371003,0,1,76.380043,,,,,753.988525,,,,,10.1985,0.006,0.006,0,1,111.059,0.442,0.442,0,1,5154,182,182,0,1,4.47072,0.28501,0.28501,0,1,0.89927,0.116155,0.116155,0,1,9/5/2018 18:34,12/17/2019 10:00
288,125.03,125,52368076,52368076.03,3,,01h34m22.42s,23.593425,,,-66d40m34.86s,-66.676349,,,-119.8,0.066,0.066,0,1,-122.953,0.08,0.08,0,1,2458342.852,0.003286,0.003286,0,1,19.981867,0.004595,0.004595,0,1,2.991231,0.720831,0.720831,0,1,1046.211182,112.284874,112.284874,0,1,2.899664,2.696121,2.696121,0,1,26.945604,,,,,581.087769,,,,,10.1985,0.006,0.006,0,1,111.059,0.442,0.442,0,1,5154,182,182,0,1,4.47072,0.28501,0.28501,0,1,0.89927,0.116155,0.116155,0,1,10/19/2018 23:49,12/17/2019 10:00
289,1250.01,1250,233059608,233059608,1,FP,17h59m13.77s,269.807391,,,+64d08m33.52s,64.142644,,,16.484,0.07,0.07,0,1,15.481,0.07,0.07,0,1,2458683.643,0.001753,0.001753,0,1,1.441504,0.000167,0.000167,0,1,0.927452,0.325389,0.325389,0,1,547.317261,64.901672,64.901672,0,1,3.834521,3.949437,3.949437,0,1,5519.18457,,,,,2198.307617,,,,,6.895,0.006,0.006,0,1,66.3631,0.14805,0.14805,0,1,6603,80,80,0,1,4.438,,,0,1,1.58365,0.063596,0.063596,0,1,10/17/2019 0:30,4/17/2020 12:00
290,1251.01,1251,233120979,233120979,1,,18h14m07.02s,273.529238,,,+62d51m29.67s,62.858243,,,-17.9,3.3,3.3,0,1,-3,3.4,3.4,0,1,2458685.829,0.000298,0.000298,0,1,5.96301,0.00002,0.00002,0,1,3.174467,0.021672,0.021672,0,1,9791.408978,79.70323,79.70323,0,1,9.839227,0.067828,0.067828,0,1,160.615918,,,,,907.960375,,,,,10.6479,0.006,0.006,0,1,185.952,,,0,1,5273,,,0,1,4.438,,,0,1,0.942541,,,0,1,10/17/2019 0:30,5/5/2020 16:00
291,1252.01,1252,233211762,233211762,1,,17h46m44.66s,266.686079,,,+70d47m04.21s,70.784502,,,-10.63,2,2,0,1,26.99,2,2,0,1,2458683.687,0.000875,0.000875,0,1,1.121917,0.000072,0.000072,0,1,0.952174,0.075449,0.075449,0,1,5908.365723,312.924988,312.924988,0,1,7.986115,11.788091,11.788091,0,1,1132.53479,,,,,1479.560181,,,,,12.0623,0.006,0.006,0,1,123.8346,,,0,1,5780,,,0,1,4.67672,0.325367,0.325367,0,1,0.624,0.087,0.087,0,1,10/17/2019 0:30,1/27/2020 16:00
