tid,harmonic,sector,period,zeta,deltchi2,kurtosis,duration,tau0,depth
434097226,16.0,2,7.12925,9220.9,1.32e6,5.95613,0.03475509375,1358.8207749616438,0.01777944
434479378,4.0,9,3.13576,13535.7,3185.9,31.1132,0.02978972000000001,1545.4405497548785,0.0011061132
434664688,1.0,11,8.42923,30942.0,1908.45,154.217,0.10115076000000002,1605.3260143376244,0.0038257241
436158814,1.0,6,7.21411,39979.4,1851.61,127.168,0.05771288,1473.042849730859,0.064119995
436243444,4.0,6,2.71748,4332.3,970.401,17.0092,0.03668598,1470.8636810479718,0.013165355
436592342,2.0,5,4.42177,26643.9,1571.9,61.7673,0.03979592999999999,1439.2439727841604,0.0027831495
436660156,9.0,5,3.73547,7370.84,119273.0,5.17487,0.03652459555555556,1441.3370972561563,0.037086517
437230910,4.0,9,1.52227,6390.45,3014.12,14.8475,0.02663972499999999,1545.107025300373,0.0026835203
437241830,4.0,9,3.77741,45533.2,38845.9,29.1533,0.03588539500000001,1546.9112480699116,0.0037516654
437297176,2.0,10,4.39678,5108.86,1618.19,34.71,0.0439678,1574.6995685094087,0.001128912
438682877,5.0,11,4.61067,5411.77,1656.27,15.6306,0.04426243200000002,1604.2317405872232,0.002759695
438942374,1.0,10,1.70922,41534.9,42302.1,33.59,0.03760284000000001,1570.2588458694709,0.017231733
439168784,18.0,11,3.40487,3739.43,73826.9,4.73513,0.04161507777777775,1601.4430819952402,0.014073521
439399635,3.0,2,1.81825,22087.7,27761.1,13.8343,0.03757716666666667,1355.5338309357974,0.012000054
439519959,3.0,10,7.34025,55003.6,154284.0,82.7762,0.04404150000000001,1572.3507637190314,0.04429981
440788366,9.0,7,6.96831,22863.8,6486.87,20.5246,0.03561580666666667,1496.4263569510158,0.0025436878
440958702,5.0,11,2.49313,5324.55,3.37e6,4.77344,0.006980763999999999,1600.0551592373124,0.004204184
441105436,7.0,1,2.58237,7733.67,634333.0,5.44481,0.03467754,1327.1609726352208,0.054076374
441128066,13.0,4,5.72994,7708.24,1.04e7,5.8522,0.03437963999999996,1410.99467645235,0.052239418
441183795,2.0,1,1.2677,20379.0,513286.0,13.6229,0.04310179999999997,1326.4700407193122,0.011766374
441406061,3.0,1,4.52691,11980.1,6951.25,31.0437,0.04828703999999998,1325.4361759048193,0.0036641955
441422220,1.0,1,3.69953,28124.3,6937.68,113.958,0.0369953,1325.8735660247382,0.0044252276
441422527,8.0,1,1.49139,6456.47,105561.0,5.8966,0.03430196999999998,1325.4818779442153,0.0013130009
442567883,8.0,12,5.00718,20961.3,251163.0,19.8092,0.033798465,1634.2082066360142,0.041031897
442829369,1.0,12,3.86337,21665.3,19550.6,102.43,0.04636044,1631.2818805373388,0.010123193
442918617,3.0,5,4.99301,48397.1,482671.0,60.4916,0.03994407999999999,1440.3708217173607,0.010017335
443494351,8.0,10,2.06309,10257.1,30530.3,7.87609,0.034040985000000024,1570.042904978997,0.0031757355
445924091,4.0,4,1.8559,5787.77,23680.4,5.75968,0.03804594999999998,1412.27025823858,0.006270826
445932196,15.0,5,8.48279,35301.3,10534.8,14.6536,0.03393116000000001,1440.8741407247792,0.042488545
447363101,16.0,10,3.06293,3205.58,53731.9,4.17655,0.03522369499999999,1570.7644400004838,0.008175358
448852739,3.0,12,3.52438,11671.3,4386.51,16.9817,0.04229256,1626.1778452384935,0.002499342
450104319,1.0,5,1.51065,41423.2,295253.0,54.3496,0.036255600000000006,1438.4978190234758,0.0073900223
450276745,15.0,10,8.86436,14735.0,5582.14,14.3223,0.004727658666666666,1575.8449266147366,0.0004079938
450637853,11.0,10,2.73429,8770.09,320043.0,6.17496,0.03430291090909091,1571.5094036382704,0.005544007
451211626,2.0,11,4.90558,7045.14,629.365,32.4341,0.04415022,1600.0938072415092,0.10145067
451949522,19.0,11,8.62104,8596.6,6228.07,7.37524,0.04083650526315794,1606.1481289112774,0.0019249022
452406965,3.0,10,0.766597,3686.91,716159.0,4.28407,0.03373026799999994,1570.4547541226611,0.10676807
452734608,1.0,10,1.99446,19987.2,442857.0,58.2219,0.06382272,1571.171708846189,0.012217283
452786194,15.0,5,7.64873,27261.2,36004.5,14.0552,0.03467424266666664,1441.3132309338832,0.0051298738
452819172,8.0,5,3.29819,13251.4,203815.0,7.12006,0.03792918500000004,1440.3463398370445,0.032621175
452955107,2.0,7,0.775981,4374.84,26143.2,5.39477,0.03647110699999999,1491.83371353061,0.0023627281
453059861,2.0,8,1.54425,19162.7,24737.4,28.894,0.04015049999999999,1518.707988241361,0.002106607
453469791,6.0,10,2.87017,22816.0,3.58e6,16.6918,0.037312209999999985,1571.1908902751877,0.03127849
