TID,Peak_Zeta,Guessed_Period
260241472,2.87E-10,0.40617913
141410960,1.40E-08,0.28756845
33862176,8.88E-10,1.414636254
238198800,1.85E-09,3.317481518
394339040,2.01E-12,0.261332691
167814416,1.31E-12,0.370663345
24694580,4.34E-10,12.69497013
176935616,4.29E-10,0.293426603
406346944,9.21E-10,2.26718545
260372064,0.000178311,10.32814312
294754400,4.55E-11,6.368555069
220567632,1.60E-05,0.949682474
261258352,1.96E-13,14.89768696
31704508,6.69E-11,14.74453735
31796484,2.35E-08,1.342283726
31796716,7.26E-09,1.448515296
382201248,9.77E-15,14.56380367
265568736,2.04E-09,0.336622089
279251008,1.99E-15,7.291475296
149175856,1.24E-12,0.333106071
29779124,6.04E-14,7.781163216
234293312,2.56E-13,0.321541816
142087040,6.51E-09,3.359769821
152867952,1.91E-06,1.042066455
277911584,7.73E-10,0.370046079
197736352,1.04E-12,9.885205269
55388536,2.64E-14,6.919700623
425883264,3.81E-14,9.941381454
44626960,1.88E-08,0.348670572
355650336,9.06E-14,7.432575703
314866336,1.10E-08,0.371467352
267061184,7.03E-09,0.78587234
388200288,8.88E-14,11.20700645
161174256,8.38E-14,6.853132725
25132754,4.34E-12,9.432922363
141867632,9.95E-09,0.38322705
260840416,0.000237075,14.62217522
71314256,6.53E-09,0.981872082
147333472,1.56E-14,12.17079449
197691168,6.31E-05,7.055959225
88247624,1.31E-07,0.347568214
32200788,9.44E-11,0.338083982
41260744,1.25E-13,0.298606783
52019396,3.21E-10,9.326618195
261061536,4.50E-09,0.497930735
441454400,7.16E-12,11.34041214
308662080,1.56E-10,12.46435165
308612000,7.85E-13,6.768002033
308602560,6.25E-13,0.395227283
144046368,2.81E-07,0.37165314
349097440,7.66E-14,7.15305233
260981296,2.70E-12,1.112236023
370138016,1.90E-13,0.321809888
267092592,3.35E-09,14.65877724
25134376,4.05E-08,0.355181038
31871192,1.24E-09,0.370478094
280793216,3.28E-08,0.481446117
234499744,7.78E-07,1.018712044
382198688,1.77E-08,0.364293873
150300928,1.27E-13,6.833742619
55745344,8.41E-14,5.582885742
55780996,7.41E-14,2.959062576
115106400,5.45E-11,9.561130524
214873952,9.09E-11,6.446512222
220513504,1.75E-12,1.530160189
261205184,9.93E-10,4.582322121
197963168,3.72E-10,3.154633999
55849960,1.37E-12,0.341709495
381916416,2.97E-06,1.015829682
177082048,5.74E-07,8.24169445
139458016,2.48E-11,0.298258603
150162704,4.89E-11,0.304436028
358456448,4.63E-09,0.325694859
25117096,6.67E-12,0.673818648
231842912,2.94E-10,9.378056526
211353472,2.27E-08,1.580970764
231702080,2.93E-08,0.341254175
219317392,3.76E-08,0.721352339
370136992,5.17E-07,5.702316284
277022848,3.58E-14,7.204500675
277871520,1.20E-08,4.146947384
238191648,9.53E-16,9.431350708
278777440,3.65E-08,1.046417475
300448640,2.71E-09,0.255135357
234500672,1.93E-05,4.629918575
147201328,6.06E-13,6.383431911
121471216,2.88E-08,0.347278684
358510496,9.23E-09,1.04154563
206552416,1.57E-13,12.14445496
79354608,2.30E-08,0.330947906
92734712,2.49E-07,14.33502579
231912592,2.61E-10,2.021229029
115190256,1.89E-08,9.267736435
141092368,6.92E-09,0.358631104
50309952,7.37E-09,1.063117623
143849120,4.47E-11,0.622635305
144064592,7.77E-11,10.08153915
441187392,8.00E-10,9.839182854
425933056,9.43E-13,5.038990974
391948640,2.40E-13,9.464418411
212324960,2.68E-10,9.977899551
25155310,7.87E-11,14.99983597
234494096,4.35E-07,14.05351543
38843896,4.42E-14,10.44238091
358512256,3.22E-12,9.064562798
197684320,1.06E-09,0.331058234
231631024,2.04E-06,12.1971941
231626944,1.42E-08,1.009080052
281656704,3.07E-09,8.186932564
55781680,3.72E-06,0.332995027
41256040,6.05E-14,2.823204041
270557472,2.45E-12,2.455193996
382258336,4.27E-13,0.702136397
287400640,2.07E-14,10.06810665
453099392,4.72E-08,0.333772957
31508244,1.09E-12,4.747125149
55368764,2.56E-12,0.330837607
25117272,6.22E-08,12.92339706
197570896,2.00E-10,4.106368542
279950432,1.49E-13,8.888034821
237865120,8.34E-09,0.392143428
149497520,1.12E-13,9.757529259
139369440,5.31E-12,4.905576229
140938800,6.80E-12,0.3390432
238813280,2.66E-13,11.71112633
262875952,1.22E-06,1.02126193
29755992,2.28E-05,2.162732363
29780676,6.28E-07,11.80322266
29780360,1.57E-14,3.754189968
211403488,2.00E-12,0.297513902
211433152,1.13E-13,9.37024498
41484616,7.71E-10,0.363990456
212353904,4.17E-13,1.099518538
212349504,3.19E-09,10.45457077
304101568,9.35E-09,1.755415797
261744864,2.21E-12,0.921000898
270174144,2.33E-08,0.34439674
300810880,6.47E-12,0.337127417
300864512,4.11E-13,10.59666348
234967632,3.84E-09,0.397738308
234968544,9.67E-05,9.233817101
234994960,4.88E-08,0.351705551
419635840,1.66E-10,2.380250692
219334128,3.11E-13,0.297613084
219334544,2.29E-12,8.632544518
180213712,3.71E-08,0.323530793
180206336,3.05E-11,0.497350127
389525280,1.45E-14,8.028833389
389524128,2.80E-08,4.49008894
389531040,1.86E-10,14.04415035
79513288,1.75E-08,0.370848745
389426720,4.53E-09,13.71796036
389444160,9.26E-15,9.263103485
53852432,3.03E-12,4.346507072
53849720,8.78E-12,11.71893501
150187904,1.60E-08,1.282578468
150140160,8.68E-14,0.804424942
150166096,2.11E-10,1.170236349
79103280,2.75E-12,0.370910555
79180008,1.14E-12,0.337183595
280911392,7.68E-08,4.279655457
234493216,2.85E-11,5.753869534
234497472,7.92E-12,2.331952333
204523632,4.16E-12,0.333217114
364589440,5.06E-10,5.23764801
364588512,4.65E-07,5.709924698
364590048,4.68E-11,0.328968138
38808860,2.76E-09,0.471755564
38824312,5.12E-13,0.326891243
350861664,1.87E-13,0.398866832
182078240,2.37E-08,1.14706409
182078128,1.16E-09,2.177198887
425085696,4.64E-10,0.645243406
260854592,5.77E-10,2.03441
260839936,2.94E-11,4.657004833
425863840,7.28E-11,13.12089348
349304256,1.32E-13,12.16673851
382633632,1.11E-13,1.179439187
382636256,5.23E-10,1.6496104
92916176,7.51E-13,10.53502941
260076496,2.44E-14,4.674111843
260044480,3.43E-12,14.59782696
177237472,6.68E-12,0.305707127
349413280,7.24E-13,2.396571398
349485024,5.20E-07,0.361451387
141435712,3.04E-08,2.313756704
141425344,7.22E-09,0.330892742
143954208,1.65E-13,0.325803429
143982384,5.20E-10,0.304385275
201248416,9.36E-10,3.923716068
201293328,1.45E-07,0.335837573
201293056,1.59E-08,0.334552646
350346368,3.16E-06,4.498328209
350331968,6.30E-14,7.164984226
300560512,3.49E-08,0.343765914
394521696,1.61E-10,0.331113398
355635904,1.16E-12,0.351588339
97402432,0.00011578,9.617067337
38516488,2.38E-12,11.92383385
231097056,2.26E-12,5.29557991
237312352,8.22E-11,0.980727196
349790944,3.12E-12,0.335893542
300444256,1.40E-07,0.368261874
140044688,3.27E-08,0.333272636
349055200,6.77E-10,1.007903457
219333920,3.46E-11,0.338196695
180213648,1.55E-08,2.325354576
209404064,1.25E-08,0.368999124
389568256,8.21E-11,9.847385406
91475384,1.12E-13,14.95739651
91476168,3.75E-10,0.3782143
234289952,1.13E-08,0.332385093
234297008,5.07E-08,0.332163602
150166752,2.12E-12,8.040884972
150107536,5.68E-12,0.709192991
234492816,5.31E-12,0.322615385
204547248,2.07E-15,2.404172421
204546160,7.76E-13,0.32935217
364539360,7.55E-08,1.006057382
364537536,7.61E-10,3.807752848
364591232,1.63E-08,2.856334686
364589568,2.44E-09,1.633740902
259975936,5.99E-11,0.348612458
33838776,1.29E-13,0.623673916
270627584,1.02E-06,0.3306171
270677632,4.58E-14,5.779820442
290350144,5.83E-08,1.420306206
281499008,1.10E-13,0.377521545
336732608,2.56E-13,0.985478878
350560800,6.21E-12,0.285372198
350521152,1.14E-13,0.451523602
382383680,6.52E-13,2.759471655
364393152,6.35E-08,0.34045887
364398336,6.98E-05,4.468439102
167304736,0.000837762,9.303332329
161334416,1.19E-08,5.195048332
161357616,7.94E-09,0.316543579
279362208,7.03E-12,0.376578927
150390320,2.18E-14,8.155610085
150361808,5.84E-14,0.392601162
150301104,2.60E-13,3.208186388
177285680,5.25E-06,0.370231181
265491200,7.26E-09,2.833102942
234992224,6.90E-10,0.373702824
234990960,4.42E-14,5.791391373
